Recipes,Rating,Cook_Time,Calories,Protein,Fat,Carbs,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient16,Ingredient17,Ingredient18,Ingredient19,Ingredient20,Ingredient21,Ingredient22,Ingredient23,Ingredient24,Ingredient25,Ingredient26,Ingredient27,Ingredient28,Ingredient29,Ingredient30
Crispy Fried Poached Eggs,5,20,2321,19,228,67,4 large fresh eggs,2 tablespoons white vinegar,4 cups vegetable oil,1 ½ cups all-purpose flour,2 large eggs, lightly beaten,2 teaspoons salt,1 teaspoon freshly ground black pepper,1 ½ cups panko bread crumbs,2 tablespoons chopped pickled red onions (for garnish),2 tablespoons chopped green onions (for garnish),1 tablespoon red pepper flakes for garnish, or to taste,,,,,,,,,,,,,,,,,
Delicious Egg Salad for Sandwiches,4.7,10,344,13,32,2,8 eggs,½ cup mayonnaise,¼ cup chopped green onion,1 teaspoon prepared yellow mustard,¼ teaspoon paprika,salt and pepper to taste,,,,,,,,,,,,,,,,,,,,,,,,
Grandma's Lemon Meringue Pie,4.7,30,298,4,10,50,1 cup white sugar,2 tablespoons all-purpose flour,3 tablespoons cornstarch,¼ teaspoon salt,1 ½ cups water,2 lemons, juiced and zested,2 tablespoons butter,4 egg yolks, beaten,1 (9 inch) pie crust, baked,4 egg whites,1/2 cup white sugar,,,,,,,,,,,,,,,,
Capirotada,5,15,271,7,11,38,3 cups water,2 ¼ cups packed light brown sugar, divided,2 cinnamon sticks,2 loaves bolillo bread, sliced ½-inch thick, toasted (about 24 ounces),½ cup butter, softened,3 cups shredded Oaxaca cheese (about 12 ounces),2 cups peanuts,1 cup raisins,¼ teaspoon ground cinnamon, or to taste,¼ teaspoon ground nutmeg, or to taste,⅛ teaspoon ground cloves, or to taste,,,,,,,,,,,,
Roasted Rack of Lamb,4.8,15,481,22,41,6,½ cup fresh bread crumbs,2 tablespoons minced garlic,2 tablespoons chopped fresh rosemary,1 teaspoon salt,¼ teaspoon black pepper,2 tablespoons olive oil,1 (7 bone) rack of lamb, trimmed and frenched,1 teaspoon salt,1 teaspoon black pepper,2 tablespoons olive oil,1 tablespoon Dijon mustard,,,,,,,,,,,,,,,,,,
Scalloped Potatoes,4.5,30,396,10,16,55,3 pounds potatoes, thinly sliced,½ onion, thinly sliced,9 tablespoons all-purpose flour, divided,6 tablespoons butter, diced and divided,salt and ground black pepper to taste,3 cups whole milk, or as needed,,,,,,,,,,,,,,,,,,,
Spanakopita (Greek Spinach Pie),4.5,30,494,18,35,32,3 tablespoons olive oil,1 large onion, chopped,1 bunch green onions, chopped,2 cloves garlic, minced,2 pounds spinach, rinsed and chopped,½ cup chopped fresh parsley,1 cup crumbled feta cheese,½ cup ricotta cheese,2 large eggs, lightly beaten,8 sheets phyllo dough,¼ cup olive oil, or as needed,,,,,,,,,,,,,
Old-Fashioned Coconut Cream Pie,4.7,10,423,7,24,46,1 cup sweetened flaked coconut,3 cups half-and-half,¾ cup white sugar,½ cup all-purpose flour,2 large eggs, beaten,¼ teaspoon salt,1 teaspoon vanilla extract,1 (9 inch) pie shell, baked,1 cup frozen whipped topping, thawed,,,,,,,,,,,,,,,,,,
Tangy Honey-Glazed Ham,4.8,5,511,39,30,19,1 (10 pound) fully-cooked, bone-in ham,1 ¼ cups packed dark brown sugar,⅓ cup pineapple juice,⅓ cup honey, or more to taste,⅓ large orange,2 tablespoons Dijon mustard,¼ teaspoon ground cloves,1 ½ teaspoons lemon juice, or to taste (Optional),,,,,,,,,,,,,,,,,,,
Banana Cream Pie,4.5,15,303,5,11,47,¾ cup white sugar,⅓ cup all-purpose flour,¼ teaspoon salt,2 cups milk,3 egg yolks, beaten,2 tablespoons butter,1 ¼ teaspoons vanilla extract,1 (9 inch) baked pastry shell, cooled,4 bananas, sliced,,,,,,,,,,,,,,,,,,
Leftover Ham -n- Potato Casserole,4.7,15,591,25,37,40,6 small potatoes, peeled and cut into 1/2-inch cubes,7 tablespoons butter, divided,⅔ pound leftover cooked ham, cut into 1/2-inch cubes,1 small onion, finely chopped,3 tablespoons all-purpose flour,1 ½ cups milk,salt and ground black pepper to taste,1 (8 ounce) package shredded Cheddar cheese,¼ cup bread crumbs,,,,,,,,,,,,,,,,,
Fresh Rhubarb Pie,4.8,30,290,3,9,51,1 ⅓ cups white sugar,6 tablespoons all-purpose flour,1 (14.1 ounce) package double-crust pie pastry, thawed,4 cups chopped rhubarb,1 tablespoon butter,,,,,,,,,,,,,,,,,,,,,,,,
Slow Cooker Ham,4.6,5,360,26,20,18,2 cups packed brown sugar,1 (8 pound) cured, bone-in picnic ham,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crustless Spinach Quiche,4.7,15,310,20,24,5,1 tablespoon vegetable oil,1 medium onion, chopped,1 (10 ounce) package frozen chopped spinach - thawed, drained, and squeezed dry,5 large eggs, beaten,¼ teaspoon salt,⅛ teaspoon ground black pepper,3 cups shredded Muenster cheese,,,,,,,,,,,,,,,,,,,
The Perfect Cinnamon Roll Icing,4.8,10,69,0,4,8,7 tablespoons butter, softened,2 ounces cream cheese, softened,2 tablespoons milk,½ teaspoon vanilla extract,1 ½ cups confectioners' sugar, sifted,¼ teaspoon salt,,,,,,,,,,,,,,,,,,,,,
Spinach Quiche,4.7,20,613,23,48,24,½ cup butter,1 small onion, chopped,3 cloves garlic, chopped,1 (10 ounce) package frozen chopped spinach, thawed and drained,1 (4.5 ounce) can mushrooms, drained,1 (6 ounce) package herb and garlic feta, crumbled,1 (8 ounce) package shredded Cheddar cheese, divided,salt and pepper to taste,1 deep-dish pie shell,4 eggs,1 cup milk,,,,,,,,,,,,,
Simply Steamed Asparagus,4.6,10,32,3,1,4,1 bunch asparagus spears,1 teaspoon butter,¼ teaspoon salt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Planked Salmon,4.9,15,678,61,46,2,3 (12 inch) untreated cedar planks,⅓ cup soy sauce,⅓ cup vegetable oil,1 ½ tablespoons rice vinegar,1 teaspoon sesame oil,¼ cup chopped green onions,1 tablespoon grated fresh ginger,1 teaspoon minced garlic,2 (2 pound) salmon fillets, skin removed,,,,,,,,,,,,,,,,,,,,
Baked Ham,4.7,10,635,52,40,14,1 (12 pound) bone-in ham, rump portion,½ cup whole cloves,1 cup packed brown sugar,4 cups water, or as needed,,,,,,,,,,,,,,,,,,,,,,,,
Peanut Butter Bars,4.6,25,532,9,37,49,2 cups graham cracker crumbs,2 cups confectioners' sugar,1 cup butter or margarine, melted,1 cup peanut butter,1 ½ cups semisweet chocolate chips,4 tablespoons peanut butter,,,,,,,,,,,,,,,,,,,,,,,
Braised Lamb Shanks,4.8,20,481,30,22,18,6 lamb shanks,salt and pepper to taste,2 tablespoons olive oil,3 large carrots, cut into 1/4 inch rounds,2 onions, chopped,10 cloves garlic, minced,1 (750 milliliter) bottle red wine,1 (28 ounce) can whole peeled tomatoes with juice,1 (10.5 ounce) can condensed chicken broth,1 (10.5 ounce) can beef broth,5 teaspoons chopped fresh rosemary,2 teaspoons chopped fresh thyme,,,,,,,,,,,,,,,
Strawberry Pie,4.6,15,265,2,11,42,1 quart fresh strawberries, hulled,1 (9 inch) pie crust, baked,1 cup white sugar,3 tablespoons cornstarch,¾ cup water,½ cup heavy whipping cream,,,,,,,,,,,,,,,,,,,,,,
Brown Sugar and Pineapple Glazed Ham,4.5,20,396,24,26,16,1 (6 pound) fully-cooked, bone-in ham,1 fresh pineapple,2 (6 ounce) cans pineapple juice,1 cup brown sugar,,,,,,,,,,,,,,,,,,,,,,,,,
Best Breakfast Casserole (Hash Browns & Eggs),4.4,15,616,34,49,30,1 (2 pound) package frozen hash brown potatoes, thawed,1 pound pork sausage,1 small onion, diced,5 eggs,½ cup milk,½ teaspoon onion powder,⅛ teaspoon garlic powder,salt and ground black pepper to taste,12 ounces shredded Cheddar cheese,,,,,,,,,,,,,,,,,,,
Best Carrot Cake Ever,4.8,20,457,6,20,66,6 cups grated carrots,1 cup brown sugar,1 cup raisins,4 eggs,1 ½ cups white sugar,1 cup vegetable oil,2 teaspoons vanilla extract,1 cup crushed pineapple, drained,3 cups all-purpose flour,4 teaspoons ground cinnamon,1 ½ teaspoons baking soda,1 teaspoon salt,1 cup chopped walnuts,,,,,,,,,,,,,,,,
Strawberry Rhubarb Pie,4.7,20,437,5,19,64,1 cup white sugar,½ cup all-purpose flour,1 pound rhubarb, cut into 1/4 inch slices,2 pints strawberries, hulled and quartered,1 recipe pastry for a 9 inch double crust pie,2 tablespoons butter,1 large egg yolk,2 tablespoons white sugar for sprinkling,,,,,,,,,,,,,,,,,,,,
Louisiana Crawfish Boil,4.6,30,541,51,22,38,2 heads garlic, unpeeled,5 bay leaves,2 (3 ounce) packages dry crab boil,1 tablespoon liquid shrimp and crab boil seasoning,salt and ground black pepper to taste,15 red potatoes, washed,3 large oranges, halved,3 large lemons, halved,2 large whole artichokes,2 (16 ounce) packages mushrooms, cleaned,½ pound fresh green beans, trimmed,2 large onions, sliced,30 pieces baby corn,2 (16 ounce) packages smoked sausage, cut into 1/2 inch slices,50 live crawfish, rinsed,,,,,,
Lemon Icing,4.5,5,191,0,8,32,½ cup unsalted butter, at room temperature,2 tablespoons lemon juice,½ teaspoon vanilla extract,3 cups confectioners' sugar,,,,,,,,,,,,,,,,,,,,,,,,,
Baked Salmon Fillets Dijon,4.6,10,331,25,22,8,4 (4 ounce) fillets salmon,3 tablespoons prepared Dijon-style mustard,salt and ground black pepper to taste,¼ cup Italian-style dry bread crumbs,¼ cup butter, melted,,,,,,,,,,,,,,,,,,,,,,,,
Coconut Macaroons,4.7,10,287,4,12,41,5 ½ cups flaked coconut,⅔ cup all-purpose flour,¼ teaspoon salt,1 (14 ounce) can sweetened condensed milk,2 teaspoons vanilla extract,,,,,,,,,,,,,,,,,,,,,,,,,
Frog Eye Salad,4.7,15,581,9,11,114,1 ¾ cups unsweetened pineapple juice,1 cup white sugar,2 eggs, beaten,2 tablespoons all-purpose flour,2 ½ teaspoons salt, divided,1 tablespoon lemon juice,1 tablespoon vegetable oil,1 (16 ounce) package acini di pepe pasta,3 (11 ounce) cans mandarin oranges, drained,2 (20 ounce) cans pineapple tidbits, drained,1 (20 ounce) can crushed pineapple, drained,1 (8 ounce) container frozen whipped topping, thawed,1 cup miniature marshmallows,1 cup shredded coconut,,,,,,,,,,
Pineapple Upside Down Cupcakes,4.6,20,237,2,9,39,cooking spray,½ cup butter, melted,1 ½ cups brown sugar,24 maraschino cherries,1 (20 ounce) can crushed pineapple,1 (18.25 ounce) package pineapple cake mix (such as Duncan Hines® Pineapple Supreme),1 ⅓ cups pineapple juice,⅓ cup vegetable oil,3 eggs,1 tablespoon confectioners' sugar for dusting, or as needed,,,,,,,,,,,,,,,,,,
Strawberry Spinach Salad,4.8,10,491,6,35,43,½ cup white sugar,½ cup olive oil,¼ cup distilled white vinegar,2 tablespoons sesame seeds,1 tablespoon poppy seeds,1 tablespoon minced onion,¼ teaspoon paprika,¼ teaspoon Worcestershire sauce,1 quart strawberries - cleaned, hulled and sliced,10 ounces fresh spinach - rinsed, dried and torn into bite-size pieces,¼ cup almonds, blanched and slivered,,,,,,,,,,,,,,,,
Ham with Pineapple,4.7,20,586,47,36,16,1 (12 pound) bone-in ham,½ cup whole cloves,1 (20 ounce) can pineapple rings in heavy syrup,1 (12 fluid ounce) can or bottle lemon-lime flavored carbonated beverage,½ cup packed brown sugar,1 (4 ounce) jar chopped maraschino cherries,,,,,,,,,,,,,,,,,,,,,,,,
Hard Candy,4.8,5,124,0,32,0,cooking spray,3 ¾ cups white sugar,1 ½ cups light corn syrup,1 cup water,1 tablespoon orange, or other flavored extract,½ teaspoon food coloring (Optional),¼ cup confectioners' sugar for dusting,,,,,,,,,,,,,,,,,,,,,,
Sautéed Garlic Asparagus,4.5,5,102,3,9,5,3 tablespoons butter or margarine,1 bunch fresh asparagus,3 cloves garlic, chopped,,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberry Shortcake,4.4,30,430,7,21,55,3 pints fresh strawberries,½ cup white sugar,2 ¼ cups all-purpose flour,4 teaspoons baking powder,2 tablespoons white sugar,¼ teaspoon salt,⅓ cup shortening,1 egg,⅔ cup milk,2 cups whipped heavy cream,,,,,,,,,,,,,,,,,,,,
Deviled Eggs,4.4,15,328,19,26,5,6 hard-cooked eggs,2 tablespoons mayonnaise,1 teaspoon white sugar, or to taste,1 teaspoon white vinegar,1 teaspoon prepared mustard,1 tablespoon finely chopped onion,1 tablespoon finely chopped celery,½ teaspoon salt, or to taste,1 pinch paprika, or to taste,,,,,,,,,,,,,,,,,,
Asparagus Wrapped in Crisp Prosciutto,4.7,5,255,13,22,3,1 tablespoon olive oil,16 spears fresh asparagus, trimmed,16 slices prosciutto,,,,,,,,,,,,,,,,,,,,,,,,,,
Italian Cream Cheese and Ricotta Cheesecake,4.7,15,704,16,50,50,2 (8 ounce) packages cream cheese, softened,1 (16 ounce) container ricotta cheese,4 large eggs,1 ½ cups white sugar,½ cup butter, melted and cooled,3 tablespoons flour,3 tablespoons cornstarch,1 tablespoon lemon juice,1 teaspoon vanilla extract,1 pint sour cream,,,,,,,,,,,,,,,,,,
Easy Bunny Cake,4.9,45,457,3,20,69,1 (15.25 ounce) package yellow cake mix,1 cup water,⅓ cup vegetable oil,3 large eggs,1 (16 ounce) container vanilla frosting,3 ¾ cups flaked coconut,30 small jellybeans,4 sticks red licorice,,,,,,,,,,,,,,,,,,,,,,
Roast Leg of Lamb,4.8,15,382,36,25,0,5 pounds leg of lamb,4 cloves garlic, sliced,salt and ground black pepper to taste,2 tablespoons fresh rosemary,,,,,,,,,,,,,,,,,,,,,,,,,
Green Grape Salad,4.8,15,479,6,27,60,4 pounds seedless green grapes,1 (8 ounce) package cream cheese,1 (8 ounce) container sour cream,½ cup white sugar,1 teaspoon vanilla extract,4 ounces chopped pecans,2 tablespoons brown sugar,,,,,,,,,,,,,,,,,,,,,,,
Home-Cured Holiday Ham,4.8,20,484,39,26,22,18 ounces kosher salt,2 cups brown sugar,7 teaspoons pink salt #1 (curing salt),1 tablespoon pickling spice, or to taste,6 quarts water, divided,1 (7 pound) fresh," bone-in pork shoulder (""picnic"") arm roast", with the skin still on,1 cup water, or as needed,2 whole star anise,¼ cup Dijon mustard,¼ cup maple syrup,1 pinch cayenne pepper,1 pinch salt,,,,,,,,,,,,,
Greek Lemon Chicken Soup,4.5,20,124,8,7,9,8 cups chicken broth,½ cup fresh lemon juice,½ cup shredded carrots,½ cup finely chopped onion,½ cup finely chopped celery,6 tablespoons chicken soup base,¼ teaspoon ground white pepper,¼ cup margarine,¼ cup all-purpose flour,8 egg yolks,1 cup cooked white rice,1 cup diced, cooked chicken meat,16 slices lemon,,,,,,,,,,,,,,,,
Homemade Banana Pudding,4.5,10,583,12,19,92,⅔ cup white sugar,⅓ cup all-purpose flour,¼ teaspoon salt,3 large eggs, beaten,2 cups milk,2 tablespoons butter, softened,½ teaspoon vanilla extract,2 bananas, peeled and sliced,½ (12 ounce) package vanilla wafer cookies,,,,,,,,,,,,,,,,,,
Red-Skinned Potato Salad,4.7,20,430,10,37,16,2 pounds clean, scrubbed new red potatoes,6 large eggs,1 pound bacon,1 onion, finely chopped,1 stalk celery, finely chopped,2 cups mayonnaise,salt and pepper to taste,,,,,,,,,,,,,,,,,,,,
Kouign-Amann,4.8,40,291,3,18,30,1 cup warm water,1 tablespoon white sugar,1 teaspoon active dry yeast,2 ½ cups bread flour, divided,2 tablespoons melted butter, or more as needed,1 teaspoon kosher salt,2 sticks ice-cold unsalted butter, divided,⅔ cup white sugar,2 teaspoons sea salt,,,,,,,,,,,,,,,,,,
