Recipes,Rating,Cook_Time,Calories,Protein,Fat,Carbs,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient16,Ingredient17,Ingredient18,Ingredient19,Ingredient20,Ingredient21,Ingredient22,Ingredient23,Ingredient24,Ingredient25,Ingredient26,Ingredient27,Ingredient28,Ingredient29,Ingredient30
Harissa-Pomegranate Mocktail,0,5,67,0,0,17,1 1/2 fl ounces brewed Lapsang souchong black tea, cooled,1 1/2 ounces pomegranate juice,3/4 ounce lemon juice,3/4 ounce harissa simple syrup,1/2 ounce aquafaba (liquid from canned chickpeas),dash of rose water,ice as needed,pink peppercorns, for garnish,,,,,,,,,,,,,,,,,,,,
Maple Rum Flip,4.5,5,261,6,6,15,1 1/2 ounces aged rum (such as Appleton Estate®),1/2 ounce orange liqueur (such as Cointreau®),1/2 ounce pure maple syrup,1 pasteurized whole egg,ice as needed,1 sprig fresh rosemary,freshly grated fresh nutmeg, for garnish,,,,,,,,,,,,,,,,,,,,,,
Apple Fall Spritz,0,5,210,0,0,38,ice as needed,2 apple slices,1 fresh sage leaf,3 ounces dry hard apple cider,2 ounces Aperol,splash of club soda,,,,,,,,,,,,,,,,,,,,,,,,
Spiked Strawberry Lemonade,0,10,141,0,0,3,1 cup sliced fresh strawberries,1/2 cup freshly squeezed lemon juice,3 cups water, divided,2 tablespoons white sugar, or to taste (optional),1 cup vodka, divided,ice, as needed,,,,,,,,,,,,,,,,,,,,
Gold Rush,0,10,442,0,0,85,1/4 cup honey,2 tablespoons water,2 cups ice,2 fluid ounces bourbon,3/4 fluid ounce honey syrup,3/4 fluid ounce fresh lemon juice,lemon twist, for garnish,,,,,,,,,,,,,,,,,,,,,,
Sparkling Peach Sangria,0,10,258,1,0,26,1 (750 ml) bottle Prosecco, well chilled,2 peaches, thinly sliced,1 cup Cointreau liqueur,2 limes, thinly sliced, divided,1 tablespoon torn fresh mint leaves,1 (1-inch) piece fresh ginger, finely grated,12 ounces sparkling water, or to taste,2 tablespoons mint leaves for garnish (optional),,,,,,,,,,,,,,,,
Copycat Chick-fil-A Frosted Lemonade,0,5,445,6,15,74,4 cups vanilla ice cream,12 ounces frozen lemonade concentrate,1 teaspoon lemon zest,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agua Fresca de Fresas con Crema (Strawberries and Cream),0,15,384,10,10,66,2 1/2 pounds strawberries, hulled and diced, divided,2 cups water,1 (14 1/2 ounce) can sweetened condensed milk,1 (12 ounce) can evaporated milk,1 tablespoon vanilla,1/2 cup sugar, or as needed,3 cups ice cubes, or as needed,,,,,,,,,,,,,,,,,,,
Sparkling Mango Pineapple Sangria,0,10,289,1,0,29,1/2 cup pineapple juice,1/2 cup mango juice,1/2 cup pineapple rum,1/2 cup mango rum,1/2 fresh pineapple - peeled, cored, and cut into chunks,2 mangos - peeled, seeded, and sliced,1 (750mL) bottle Prosecco sparkling wine,,,,,,,,,,,,,,,,,,,
How to Make Cold Foam,5,5,13,1,0,2,1/4 cup skim milk,1 1/2 to 2 teaspoons vanilla simple syrup (see above) or purchased vanilla syrup (Optional),2 cups cold brew coffee or iced coffee,freshly grated nutmeg or cinnamon (Optional),,,,,,,,,,,,,,,,,,,,,,,,,,
Big-Batch Pineapple-Basil Vodka Sours,0,5,169,0,0,18,1 1/2 cups chopped fresh pineapple,1 (750-ml) bottle vodka,1/2 cup fresh basil leaves, plus more for garnish,1 cup sugar,1 cup water,1 cup freshly-squeezed lime juice (about limes),1 cup freshly-squeezed lemon juice (about 6 lemons),ice as needed,club soda as needed (optional),fresh pineapple weges and fronds, for garnish,,,,,,,,,,,,,,,,,,
Copycat Wendy’s Chocolate Frosty,5,10,376,10,20,41,2 cups chocolate milk,1 cup frozen whipped topping (do not thaw),1/4 cup whole milk,1 tablespoon sweetened condensed milk,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Cream Cold Brew,5,5,138,2,12,5,2 tablespoons heavy whipping cream,1 tablespoon milk,1 1/2 teaspoons chocolate syrup (such as Torani® Sugar Free Syrup),1 1/2 teaspoons cocoa powder,1/2 teaspoon vanilla extract,1 cup cold brew coffee,,,,,,,,,,,,,,,,,,,,,,,,
Chilton Cocktail,2,5,302,8,2,66,1 tablespoon coarse salt, or as needed,1 lemon wedge,1 1/2 fluid ounces freshly-squeezed lemon juice,1 1/2 fluid ounces vodka,4 fluid ounces sparkling mineral water (such as Topo Chico®), or as needed,,,,,,,,,,,,,,,,,,,,,,,
Stone-Cold Stinger,0,5,0,0,0,0,½ fluid ounce cinnamon schnapps (i.e. Goldschlager™),½ fluid ounce peppermint schnapps,½ fluid ounce Jagermeister liqueur,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparkling Cantaloupe Agua Fresca,0,15,81,1,0,21,2 pounds fresh cantaloupe cubes (6 cups),2 cups water,6 tablespoons freshly squeezed lime juice (from 2 limes),3 tablespoons honey,1/4 teaspoon salt,2 cups club soda, chilled,cantaloupe melon balls or cubes, for garnish ,lime zest twists, for garnish,,,,,,,,,,,,,,,,,,,
Agua Fresca de Pithaya (Dragon Fruit),0,10,331,5,2,81,2 lb pink- or white-flesh pithayas,1 1/2 cups water,1/4 cup lime juice,2 tablespoons sugar,lime wheels, for garnish,ice cubes as needed,,,,,,,,,,,,,,,,,,,,,,,
Spiked Lemonade,0,10,264,3,5,41,½ cup freshly squeezed lemon juice,¼ cup warm water,¼ cup white sugar,½ cup cold water,3 (1.5 fluid ounce) jiggers coconut-flavored rum,ice cubes, as needed,,,,,,,,,,,,,,,,,,,,,,,
Copycat Pink Drink,3.3,5,77,1,6,6,½ cup water,¼ cup white grape juice or white cranberry juice,1 serving wild strawberry sugar-free drink mix (such as Crystal Light),1 (2 g) bag hibiscus tea (such as Tazo Passion),2 ¼ cups refrigerated unsweetened coconut milk,ice cubes, freeze-dried strawberries, or sliced fresh or frozen strawberries as garnish (optional),,,,,,,,,,,,,,,,,,,,,,
Limoncello Moscow Mule,4,5,315,0,0,36,1 cup ice,½ fluid ounce fresh lime juice,1 ½ fluid ounces limoncello liqueur,1 ½ fluid ounces vodka,5 ounces ginger beer,1 thin lemon slice (optional),,,,,,,,,,,,,,,,,,,,,,,,
Cantaloupe Frenzy,0,7,111,2,0,28,1 cantaloupe - peeled, seeded and cubed,3 tablespoons white sugar, or to taste,2 cups ice cubes,,,,,,,,,,,,,,,,,,,,,,,,,
How Well Do You Know Booze?,0,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kombucha Margarita,0,5,227,0,0,14,2 cups ice,2 fluid ounces silver tequila,¾ fluid ounce triple sec (orange-flavored liqueur),¾ fluid ounce freshly squeezed lime juice,1 tablespoon coarse salt, or as needed,1 lime wedge,3 ounces citrus flavored kombucha, or your favorite flavor,,,,,,,,,,,,,,,,,,,,,
Kombucha Mule,0,5,147,0,5,0,1 ½ cups ice,½ fluid ounce freshly squeezed lime juice,2 fluid ounces vodka,4 ounces ginger-flavored Kombucha (such as KeVita®Master Brew Ginger),1 thin lime slice (optional),,,,,,,,,,,,,,,,,,,,,,,,,
Oyster Shooters,4.9,10,216,2,0,5,9 fluid ounces tomato juice,1 teaspoon prepared horseradish,2 teaspoons freshly ground black pepper,12 (1.5 fluid ounce) jiggers vodka,12 shucked oysters,1 lemon - cut into wedges, for garnish,,,,,,,,,,,,,,,,,,,,,,,
Washington Apple Cocktail,0,5,145,0,0,13,2 fluid ounces whiskey,1 ½ fluid ounces cranberry juice,1 fluid ounce sour apple schnapps (such as DeKuyper® Sour Apple Pucker),1 teaspoon agave nectar,ice cubes as needed,2 apple slices for garnish,,,,,,,,,,,,,,,,,,,,,,,,
Ginger-Hibiscus Sparkler,0,5,133,0,0,20,¼ cup dried hibiscus petals,1 ½ cups boiling water,½ cup fresh lime juice,½ cup ginger liqueur (such as Domaine de Canton®),½ cup ginger beer,4 sprigs fresh mint for garnish,fresh ginger, peeled and thinly sliced,,,,,,,,,,,,,,,,,,,,,,
Cape Codder Cocktail,4.3,5,202,1,0,28,1 ½ fluid ounces vodka,5 fluid ounces cranberry juice,1 cup ice cubes,1 lime wedge for garnish,,,,,,,,,,,,,,,,,,,,,,,,,,
PB & J Smoothie,5,5,381,15,21,39,6 frozen strawberries, or more to taste,¾ cup milk,1 ½ tablespoons peanut butter,1 tablespoon blue agave nectar, or more to taste,1 tablespoon flax seeds,,,,,,,,,,,,,,,,,,,,,,,
Pineapple Margarita,4.8,5,266,1,0,24,2 cups ice, or as needed,3 fluid ounces pineapple juice,2 fluid ounces silver tequila,¾ fluid ounce triple sec,¾ fluid ounce freshly squeezed lime juice,1 tablespoon coarse salt, or as needed,2 lime wedges,pineapple wedge for garnish (optional),,,,,,,,,,,,,,,,,,,,
"Oolong, Orange, and Whiskey Punch",5,15,164,1,0,14,3 cups water,3 tablespoons sugar,1 (2 inch) cinnamon stick,2 whole star anise,6 oolong tea bags,2 ⅔ cups fresh orange juice,1 ½ cups whiskey,3 tablespoons fresh lemon juice (from 1 lemon),large ice cubes,tangerine, sectioned and seeded,,,,,,,,,,,,,,,,,,,
Mexican Mocha,5,5,81,2,1,20,2 tablespoons powdered sugar,1 tablespoon unsweetened cocoa powder,¼ teaspoon ground cinnamon,¼ teaspoon chili powder,1 cup hot coffee,¼ cup half-and-half creamer,whipped cream for topping (optional),cinnamon for sprinkling (optional),,,,,,,,,,,,,,,,,,,,,,
Party Punch IV,4.7,10,0,0,0,0,1 (16 ounce) can frozen pineapple juice concentrate,1 (12 fluid ounce) can frozen orange juice concentrate,12 fluid ounces vodka,2 (2 liter) bottles lemon-lime flavored carbonated beverage, chilled,1 (4 ounce) jar maraschino cherries,4 oranges, sliced into rounds,2 trays ice cubes,,,,,,,,,,,,,,,,,,,,,
Classic Old Fashioned,4.6,5,0,0,0,0,2 teaspoons simple syrup,1 teaspoon water,2 dashes bitters,1 cup ice cubes,1 (1.5 fluid ounce) jigger bourbon whiskey,1 slice orange,1 maraschino cherry,,,,,,,,,,,,,,,,,,,,,,,
The REAL Long Island Iced Tea,4.7,10,262,0,0,23,½ fluid ounce vodka,½ fluid ounce rum,½ fluid ounce gin,½ fluid ounce tequila,½ fluid ounce triple sec (orange-flavored liqueur),1 fluid ounce sweet and sour mix,1 fluid ounce cola, or to taste,1 lemon slice,,,,,,,,,,,,,,,,,,,,,
Moscow Mule Cocktail,4.7,5,153,0,15,0,1 ½ fluid ounces vodka,½ fluid ounce lime juice,ice cubes,½ cup ginger beer,1 lime wedge for garnish,,,,,,,,,,,,,,,,,,,,,,,,,
The Real Mojito,4.8,10,203,0,0,29,10 fresh mint leaves,½ medium lime, cut into 3 wedges, divided,2 tablespoons white sugar, or to taste,1 cup ice cubes, or as needed,1 ½ fluid ounces white rum,½ cup club soda, or as needed,,,,,,,,,,,,,,,,,,,
Best Strawberry Daiquiri,4.6,10,0,0,0,0,4 ounces frozen strawberries,½ cup white sugar,½ cup lemon juice,⅛ cup lime juice,¾ cup rum,¼ cup lemon-lime flavored carbonated beverage,6 cups ice, or as needed,,,,,,,,,,,,,,,,,,,,,,
Lemon Drop Shots,4.8,10,116,1,0,24,¾ fluid ounce vodka (such as Absolut®),¾ fluid ounce lemon juice,2 ½ teaspoons white sugar, divided, or more to taste,1 lemon, cut into wedges,,,,,,,,,,,,,,,,,,,,,,,
Peanut Butter Banana Smoothie,4.6,5,335,13,19,34,2 bananas, broken into chunks,2 cups milk,½ cup peanut butter,2 tablespoons honey, or to taste,2 cups ice cubes,,,,,,,,,,,,,,,,,,,,,,,
Bahama Mama,4.7,5,0,0,0,0,1 cup crushed ice,1 fluid ounce orange juice,1 fluid ounce pineapple juice,½ fluid ounce rum,½ fluid ounce coconut-flavored rum,½ fluid ounce grenadine syrup,,,,,,,,,,,,,,,,,,,,,,,,
Simple Syrup,4.8,5,48,0,13,0,1 cup white sugar,1 cup water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
